CS_Voltage,CS_Current,VBNL-N_Voltage,VBNL-N_Current,VDD33_N_Voltage,VDD33_N_Current,WE_Voltage,WE_Current,ADDR[9]_Voltage,ADDR[9]_Current,ADDR[8]_Voltage,ADDR[8]_Current,ADDR[7]_Voltage,ADDR[7]_Current,ADDR[6]_Voltage,ADDR[6]_Current,ADDR[5]_Voltage,ADDR[5]_Current,ADDR[4]_Voltage,ADDR[4]_Current,ADDR[3]_Voltage,ADDR[3]_Current,ADDR[2]_Voltage,ADDR[2]_Current,ADDR[1]_Voltage,ADDR[1]_Current,ADDR[0]_Voltage,ADDR[0]_Current,VDD_Voltage,VDD_Current,VSS_Voltage,VSS_Current,SA_Voltage,SA_Current
1.499925,0.0004761666666666667,1.499975,2.1354166666666666e-06,1.4999500000000001,9.374999999999999e-08,0.000125,-0.0004245625,-2.5e-05,-4.658333333333333e-05,-5e-05,-3.5416666666666663e-07,-5e-05,-8.833333333333334e-05,-0.000175,-3.0010416666666667e-05,0.000175,-0.0010146770833333334,7.500000000000001e-05,-3.7499999999999996e-07,2.5e-05,-4.895833333333333e-07,7.500000000000001e-05,-5.625e-07,-2.5e-05,-6.458333333333333e-07,2.5e-05,-7.395833333333334e-07,1.09945,0.0042341979166666665,-2.5e-05,1.7708333333333331e-07,0.000125,-1.84375e-06
1.499975,0.00047576041666666665,1.500025,2.197916666666667e-06,1.500025,1.1458333333333334e-07,5e-05,-0.0004246354166666667,-5e-05,-4.6416666666666666e-05,0.0,-2.5000000000000004e-07,-5e-05,-8.95e-05,5e-05,-2.9760416666666667e-05,5e-05,-0.0010202083333333333,-7.500000000000001e-05,-2.8125e-07,2.5e-05,-3.0208333333333334e-07,-5e-05,-2.8125e-07,-7.500000000000001e-05,-4.479166666666667e-07,1.4854250000000002,-2.71875e-06,1.0999999999999999,0.00424334375,2.5e-05,4.166666666666667e-08,-7.500000000000001e-05,-1.8958333333333335e-06
1.5001250000000002,0.0004759895833333333,1.5000749999999998,2.0000000000000003e-06,1.5001,1.1458333333333334e-07,-7.500000000000001e-05,-0.00042517708333333334,2.5e-05,-4.638541666666667e-05,5e-05,-2.395833333333333e-07,0.0,-8.932291666666667e-05,-2.5e-05,-2.9697916666666673e-05,7.500000000000001e-05,-0.00102275,0.0001,-2.1875000000000002e-07,-0.0001,-2.1875000000000002e-07,0.0,-6.250000000000001e-08,1.4855749999999999,-1.5937500000000002e-06,0.014450000000000001,2.2395833333333334e-06,1.09995,0.00424709375,0.0,4.166666666666667e-08,0.0001,-1.8229166666666669e-06
1.5,0.00047626041666666666,1.5000749999999998,2.1875e-06,1.500025,3.1250000000000005e-08,-2.5e-05,-0.00042489583333333333,-5e-05,-4.636458333333333e-05,-5e-05,-2.0833333333333333e-07,0.0,-8.95e-05,0.0002,-2.9406250000000003e-05,2.5e-05,-0.0010244062500000001,-7.500000000000001e-05,-1.0416666666666667e-07,7.500000000000001e-05,-1.5625e-07,-5e-05,-6.250000000000001e-08,1.5000749999999998,8.125e-07,1.4855,-2.7500000000000004e-06,1.100025,0.004248145833333334,2.5e-05,9.374999999999999e-08,7.500000000000001e-05,-1.8541666666666668e-06
1.4999,0.0004760729166666667,1.500025,2.0833333333333334e-06,1.499975,9.374999999999999e-08,-5e-05,-0.00042596875,2.5e-05,-4.63125e-05,2.5e-05,-1.4583333333333332e-07,5e-05,-8.977083333333333e-05,2.5e-05,-2.9406250000000003e-05,7.500000000000001e-05,-0.0010257291666666668,-7.500000000000001e-05,-1.0416666666666667e-08,0.0,-1.979166666666667e-07,1.4853,-2.7395833333333337e-06,0.0146,2.3958333333333334e-06,0.0144,2.5833333333333333e-06,1.0999,0.004248770833333333,2.5e-05,8.333333333333334e-08,-0.000125,-1.7812499999999999e-06
1.499975,0.00047621874999999997,1.500025,2.1250000000000004e-06,1.5000749999999998,6.250000000000001e-08,0.0001,-0.00042659375,2.5e-05,-4.6250000000000006e-05,7.500000000000001e-05,-1.0416666666666667e-07,7.500000000000001e-05,-8.982291666666667e-05,-2.5e-05,-2.938541666666667e-05,-5e-05,-0.0010270729166666668,0.0,-4.166666666666667e-08,0.0,-5.208333333333333e-08,1.4999500000000001,-4.166666666666667e-08,2.5e-05,-3.5416666666666663e-07,1.48555,-2.7395833333333337e-06,1.100025,0.004251395833333334,-5e-05,0.0,-2.5e-05,-1.9479166666666667e-06
1.499925,0.00047614583333333336,1.499975,2.09375e-06,1.5001,1.4583333333333332e-07,-2.5e-05,-0.00042633333333333336,2.5e-05,-4.6260416666666665e-05,-5e-05,-1.3541666666666668e-07,0.0,-8.852083333333334e-05,7.500000000000001e-05,-2.95625e-05,-5e-05,-0.0010279375,2.5e-05,-5.208333333333333e-08,2.5e-05,-1.5625e-07,1.4999500000000001,-1.0416666666666667e-08,1.48555,-1.6458333333333332e-06,0.014375000000000002,2.4375000000000004e-06,1.1000750000000001,0.0042499375,2.5e-05,1.3541666666666668e-07,0.0,-1.8333333333333335e-06
1.4998749999999998,0.00047630208333333335,1.5,2.072916666666667e-06,1.4998749999999998,1.7708333333333331e-07,-2.5e-05,-0.0004259791666666667,-0.00015000000000000001,-4.632291666666667e-05,0.0,-1.0416666666666667e-07,-5e-05,-8.854166666666666e-05,7.500000000000001e-05,-2.9697916666666673e-05,2.5e-05,-0.0010284895833333333,7.500000000000001e-05,3.1250000000000005e-08,0.000125,-3.1250000000000005e-08,1.500025,1.0416666666666667e-08,1.5001,8.333333333333333e-07,1.485525,-2.65625e-06,1.0999,0.004248770833333333,7.500000000000001e-05,4.166666666666667e-08,-0.000125,-1.8229166666666669e-06
1.5,0.00047664583333333337,1.4999,2.15625e-06,1.5,7.291666666666666e-08,7.500000000000001e-05,-0.00042697916666666665,-5e-05,-4.634375e-05,-5e-05,-8.333333333333334e-08,0.0,-8.869791666666667e-05,2.5e-05,-2.9437500000000004e-05,0.0,-0.0010292187500000002,-7.500000000000001e-05,1.0416666666666667e-08,1.4858250000000002,-2.34375e-06,0.0148,2.5312500000000005e-06,0.01455,2.4270833333333333e-06,0.014450000000000001,2.5833333333333333e-06,1.0999999999999999,0.004248947916666667,-5e-05,2.0833333333333335e-08,0.0,-1.875e-06
1.4999,0.00047618750000000005,1.5,2.177083333333333e-06,1.499975,9.374999999999999e-08,-7.500000000000001e-05,-0.00042740625000000005,5e-05,-4.6260416666666665e-05,-2.5e-05,-6.250000000000001e-08,-7.500000000000001e-05,-8.929166666666666e-05,-7.500000000000001e-05,-2.9468749999999998e-05,-2.5e-05,-0.0010295416666666667,0.0001,1.0416666666666667e-08,1.5000499999999999,9.374999999999999e-08,0.0,-8.333333333333334e-08,-7.500000000000001e-05,-3.0208333333333334e-07,1.485525,-2.6770833333333335e-06,1.0999999999999999,0.004251635416666667,2.5e-05,6.250000000000001e-08,0.000125,-1.90625e-06
1.5000499999999999,0.00047621874999999997,1.499975,2.020833333333333e-06,1.5000499999999999,9.374999999999999e-08,-2.5e-05,-0.0004273020833333334,-2.5e-05,-4.617708333333334e-05,2.5e-05,-8.333333333333334e-08,2.5e-05,-8.86875e-05,2.5e-05,-2.9343750000000005e-05,2.5e-05,-0.0010301770833333335,0.0,3.1250000000000005e-08,1.500025,6.250000000000001e-08,5e-05,-4.166666666666667e-08,1.4856250000000002,-1.6354166666666665e-06,0.014450000000000001,2.4687500000000003e-06,1.100025,0.0042501875000000005,0.00015000000000000001,-4.166666666666667e-08,-0.000175,-1.8958333333333335e-06
1.5,0.00047678124999999994,1.5,2.0625e-06,1.4999,1.3541666666666668e-07,2.5e-05,-0.00042747916666666666,2.5e-05,-4.63125e-05,0.0,-3.1250000000000005e-08,-7.500000000000001e-05,-8.834375e-05,-5e-05,-2.9281249999999997e-05,-5e-05,-0.0010305520833333334,7.500000000000001e-05,-1.0416666666666667e-08,1.499925,-4.166666666666667e-08,-5e-05,-1.2500000000000002e-07,1.4999,8.541666666666667e-07,1.485525,-2.7916666666666665e-06,1.09995,0.004251166666666666,-2.5e-05,1.0416666666666667e-07,-0.000125,-1.7604166666666668e-06
1.499975,0.00047647916666666666,1.500025,1.9791666666666666e-06,1.499925,1.3541666666666668e-07,-5e-05,-0.0004269375,0.000125,-4.634375e-05,0.0,-7.291666666666666e-08,0.0,-8.844791666666667e-05,0.0,-2.891666666666667e-05,0.0,-0.0010313333333333333,0.0001,1.0416666666666667e-08,1.5000499999999999,-4.166666666666667e-08,1.4851750000000001,-2.7500000000000004e-06,0.01455,2.510416666666667e-06,0.014450000000000001,2.625e-06,1.09985,0.004252218750000001,2.5e-05,9.374999999999999e-08,-5e-05,-1.7708333333333332e-06
1.5,0.00047651041666666664,1.499925,2.15625e-06,1.499925,1.3541666666666668e-07,-2.5e-05,-0.00042735416666666665,-2.5e-05,-4.6260416666666665e-05,0.0,-7.291666666666666e-08,5e-05,-9.00625e-05,-2.5e-05,-2.86875e-05,2.5e-05,-0.0010316874999999998,7.500000000000001e-05,-1.0416666666666667e-08,1.5001,-2.0833333333333335e-08,1.5000749999999998,-1.0416666666666667e-08,2.5e-05,-1.979166666666667e-07,1.4854749999999999,-2.6979166666666667e-06,1.099975,0.0042523541666666664,0.0,4.166666666666667e-08,-5e-05,-1.8958333333333335e-06
