CS_Voltage,CS_Current,VBNL-N_Voltage,VBNL-N_Current,VDD33_N_Voltage,VDD33_N_Current,WE_Voltage,WE_Current,ADDR[9]_Voltage,ADDR[9]_Current,ADDR[8]_Voltage,ADDR[8]_Current,ADDR[7]_Voltage,ADDR[7]_Current,ADDR[6]_Voltage,ADDR[6]_Current,ADDR[5]_Voltage,ADDR[5]_Current,ADDR[4]_Voltage,ADDR[4]_Current,ADDR[3]_Voltage,ADDR[3]_Current,ADDR[2]_Voltage,ADDR[2]_Current,ADDR[1]_Voltage,ADDR[1]_Current,ADDR[0]_Voltage,ADDR[0]_Current,VDD_Voltage,VDD_Current,VSS_Voltage,VSS_Current,SA_Voltage,SA_Current
1.5,3.744153645833333e-05,4.5999975,8.264815104166668e-05,4.5999975,4.8307291666666665e-08,1.5000012500000002,0.00017898776041666667,1.500001875,0.00014183171875,1.49999875,2.63659375e-05,1.2499999999999999e-06,-1.3205520833333333e-05,6.249999999999999e-07,-0.00012248036458333334,6.249999999999999e-07,-0.00022698903645833332,6.249999999999999e-07,-0.0005984551822916666,1.500005,0.0004100711979166667,1.8750000000000003e-06,-0.0007662647135416667,1.5,0.0007251261197916667,1.2499999999999999e-06,-5.205106770833333e-05,0.966763125,0.0010000000520833335,-6.249999999999999e-07,2.1875e-09,2.4999999999999998e-06,1.3151041666666668e-08
1.4999975,4.896927083333333e-05,4.599994375,8.049088541666666e-05,4.5999993749999994,4.3515625e-08,1.5000006249999998,0.000195463671875,1.5000006249999998,0.00014080020833333334,1.49999875,2.6620755208333338e-05,-3.125e-06,-8.135234375e-06,-1.8750000000000003e-06,-9.221026041666666e-05,-6.249999999999999e-07,-0.00015783817708333334,-6.249999999999999e-07,-0.0005200728645833333,1.5,0.00048340794270833337,1.499998125,0.0006232328385416667,0.042941875000000004,-0.000998119140625,1.2499999999999999e-06,-3.412598958333333e-05,0.8394581249999999,0.0009999999479166667,-1.2499999999999999e-06,2.369791666666667e-09,0.0,1.2630208333333332e-08
1.499994375,2.6475442708333334e-05,4.600000625000001,7.933895833333334e-05,4.5999975,4.309895833333333e-08,1.499998125,0.00016498838541666668,1.500003125,0.00013987296874999998,1.500001875,2.6403333333333335e-05,6.249999999999999e-07,-1.9332682291666667e-05,-3.125e-06,-0.00016168031249999998,-9.375000000000001e-06,-0.00032494591145833333,-8.125000000000001e-06,-0.0006871961979166667,1.4999906250000001,0.00032820778645833336,1.4999924999999998,0.00042526468750000003,1.49998,0.0005573537499999999,-1.8750000000000003e-06,-7.7468828125e-05,1.10006625,0.0005816866666666667,-1.2499999999999999e-06,1.8750000000000002e-09,-6.249999999999999e-07,1.3489583333333334e-08
1.499999375,7.721481770833333e-05,4.600000625000001,1.7652708333333333e-05,4.59999625,2.4454166666666667e-05,1.499999375,0.00024994434895833336,1.5000037499999999,0.00014029033854166668,1.5000006249999998,2.6826536458333332e-05,1.2499999999999999e-06,-1.3565625000000002e-06,3.125e-06,-4.6496744791666664e-05,1.2499999999999999e-06,-6.902752604166666e-05,1.499998125,0.0006630924218750001,0.0,-0.00036084888020833334,-2.4999999999999998e-06,-0.00045390684895833333,1.8750000000000003e-06,-0.0007146239062499999,-6.249999999999999e-07,-1.3936145833333333e-05,0.5742518750000001,0.0010000002604166668,6.249999999999999e-07,1.8750000000000002e-09,6.249999999999999e-07,1.2942708333333332e-08
1.500001875,3.787492187499999e-05,4.5999993749999994,8.139369791666668e-05,4.59999875,4.7864583333333334e-08,1.499999375,0.00017963872395833336,1.499999375,0.00014117760416666668,1.500001875,2.6792265625e-05,-6.249999999999999e-07,-1.3042552083333334e-05,2.4999999999999998e-06,-0.00012155138020833334,-6.249999999999999e-07,-0.00022339117187500002,1.5000025,0.00044356533854166664,3.7500000000000005e-06,-0.0006039152604166666,3.125e-06,-0.0007630536718749999,1.4999968750000001,0.0007303077864583334,-6.249999999999999e-07,-5.158080729166667e-05,0.9627037500000001,0.00099999953125,-1.2499999999999999e-06,2.552083333333333e-09,-3.7500000000000005e-06,1.3984375e-08
1.5000006249999998,4.9685208333333335e-05,4.5999975,8.096020833333334e-05,4.6000000000000005,4.252604166666667e-08,1.500005,0.00019721955729166667,1.500001875,0.00014064286458333333,1.5000006249999998,2.6954348958333332e-05,0.0,-7.954453125e-06,1.8750000000000003e-06,-9.146041666666667e-05,6.249999999999999e-07,-0.00015366216145833335,1.500001875,0.0005139686718749999,-1.8750000000000003e-06,-0.0005246802864583333,1.49999875,0.000627996640625,0.0371725,-0.0009974769791666668,0.0,-3.343924479166667e-05,0.8331243750000001,0.0009999998437499999,0.0,1.7447916666666668e-09,-1.2499999999999999e-06,1.3072916666666667e-08
1.499998125,2.6659114583333334e-05,4.600001874999999,7.846721354166667e-05,4.5999975,4.177083333333333e-08,1.500001875,0.00016557729166666668,1.5000012500000002,0.000139578671875,1.500001875,2.5768619791666667e-05,-1.8750000000000003e-06,-1.9341927083333333e-05,-2.4999999999999998e-06,-0.00016172856770833337,-9.375000000000001e-06,-0.00032549098958333336,1.499993125,0.0003642641927083334,-6.25e-06,-0.0006936864843750001,1.4999912499999999,0.00042535002604166666,1.49998125,0.0005575345572916666,-3.125e-06,-7.764781250000002e-05,1.10006625,0.0005973089322916667,-2.4999999999999998e-06,2.2656250000000002e-09,0.0,1.3255208333333333e-08
1.5000012500000002,5.668255208333333e-05,4.599909375,0.00014537411458333334,4.600001874999999,3.9867708333333336e-05,1.499999375,0.00020718825520833333,1.49999875,0.000138874296875,1.4999975,2.5726354166666667e-05,1.2499999999999999e-06,-5.629635416666667e-06,6.249999999999999e-07,-7.739877604166667e-05,-6.249999999999999e-07,-0.00012548955729166668,1.5,0.0005488043489583333,1.4999968750000001,0.0005241963541666667,-1.2499999999999999e-06,-0.0006051934635416667,3.0000000000000004e-05,-0.0009541224479166667,-1.8750000000000003e-06,-2.6770000000000003e-05,0.76221125,0.00100000046875,6.249999999999999e-07,2.0833333333333334e-09,-1.2499999999999999e-06,1.3359375000000001e-08
1.49999875,2.661713541666667e-05,4.59999375,8.283549479166667e-05,4.599995625,5.221354166666667e-08,1.5000006249999998,0.00016475432291666666,1.499999375,0.00013878841145833332,1.499999375,2.5665520833333333e-05,0.0,-1.9328645833333334e-05,-6.249999999999999e-07,-0.00016109557291666668,-3.7500000000000005e-06,-0.00032430997395833326,1.49999875,0.00036070809895833334,1.4999975,0.00032461927083333336,-2.4999999999999998e-06,-0.0008738180989583333,1.4999856249999999,0.0005607580729166667,-3.125e-06,-7.668583333333333e-05,1.1000231249999999,0.0009029282812500001,-6.249999999999999e-07,2.7604166666666666e-09,-3.125e-06,1.4010416666666668e-08
1.499999375,3.0655546875e-05,4.599995,7.951703125e-05,4.5999993749999994,6.71875e-08,1.499999375,0.0001688977604166667,1.499999375,0.00014018380208333334,1.500001875,2.5712760416666667e-05,1.2499999999999999e-06,-1.6934609375e-05,1.2499999999999999e-06,-0.00014615015625,-6.249999999999999e-07,-0.00028217872395833334,1.499998125,0.00038743033854166673,1.5000025,0.0003531729427083334,1.499998125,0.0004644098697916667,0.24730187499999995,-0.0009999996093750002,1.2499999999999999e-06,-6.331911458333334e-05,1.04882125,0.0009994981770833334,-1.2499999999999999e-06,3.3072916666666667e-09,6.249999999999999e-07,1.3072916666666667e-08
