#,CS,VBNL-N,VDD33_N,WE,ADDR[9],ADDR[8],ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],VDD,VSS,SA
164,1,4,4,1,0,0,1,0,1,0,0,0,1,1,1.1,0,0
166,1,4,4,1,0,0,1,0,1,0,0,1,0,1,1.1,0,0
168,1,4,4,1,0,0,1,0,1,0,0,1,1,1,1.1,0,0
170,1,4,4,1,0,0,1,0,1,0,1,0,0,1,1.1,0,0
172,1,4,4,1,0,0,1,0,1,0,1,0,1,1,1.1,0,0
174,1,4,4,1,0,0,1,0,1,0,1,1,0,1,1.1,0,0
176,1,4,4,1,0,0,1,0,1,0,1,1,1,1,1.1,0,0
178,1,4,4,1,0,0,1,0,1,1,0,0,0,1,1.1,0,0
180,1,4,4,1,0,0,1,0,1,1,0,0,1,1,1.1,0,0
182,1,4,4,1,0,0,1,0,1,1,0,1,0,1,1.1,0,0
184,1,4,4,1,0,0,1,0,1,1,0,1,1,1,1.1,0,0
186,1,4,4,1,0,0,1,0,1,1,1,0,0,1,1.1,0,0
188,1,4,4,1,0,0,1,0,1,1,1,0,1,1,1.1,0,0
190,1,4,4,1,0,0,1,0,1,1,1,1,0,1,1.1,0,0
192,1,4,4,1,0,0,1,0,1,1,1,1,1,1,1.1,0,0
193,1,4,4,1,0,0,1,1,0,0,0,0,0,0,1.1,0,0
195,1,4,4,1,0,0,1,1,0,0,0,0,1,0,1.1,0,0
197,1,4,4,1,0,0,1,1,0,0,0,1,0,0,1.1,0,0
199,1,4,4,1,0,0,1,1,0,0,0,1,1,0,1.1,0,0
201,1,4,4,1,0,0,1,1,0,0,1,0,0,0,1.1,0,0
203,1,4,4,1,0,0,1,1,0,0,1,0,1,0,1.1,0,0
205,1,4,4,1,0,0,1,1,0,0,1,1,0,0,1.1,0,0
207,1,4,4,1,0,0,1,1,0,0,1,1,1,0,1.1,0,0
209,1,4,4,1,0,0,1,1,0,1,0,0,0,0,1.1,0,0
211,1,4,4,1,0,0,1,1,0,1,0,0,1,0,1.1,0,0
213,1,4,4,1,0,0,1,1,0,1,0,1,0,0,1.1,0,0
215,1,4,4,1,0,0,1,1,0,1,0,1,1,0,1.1,0,0
217,1,4,4,1,0,0,1,1,0,1,1,0,0,0,1.1,0,0
219,1,4,4,1,0,0,1,1,0,1,1,0,1,0,1.1,0,0
221,1,4,4,1,0,0,1,1,0,1,1,1,0,0,1.1,0,0
223,1,4,4,1,0,0,1,1,0,1,1,1,1,0,1.1,0,0
226,1,4,4,1,0,0,1,1,1,0,0,0,0,1,1.1,0,0
228,1,4,4,1,0,0,1,1,1,0,0,0,1,1,1.1,0,0
230,1,4,4,1,0,0,1,1,1,0,0,1,0,1,1.1,0,0
232,1,4,4,1,0,0,1,1,1,0,0,1,1,1,1.1,0,0
234,1,4,4,1,0,0,1,1,1,0,1,0,0,1,1.1,0,0
236,1,4,4,1,0,0,1,1,1,0,1,0,1,1,1.1,0,0
238,1,4,4,1,0,0,1,1,1,0,1,1,0,1,1.1,0,0
240,1,4,4,1,0,0,1,1,1,0,1,1,1,1,1.1,0,0
242,1,4,4,1,0,0,1,1,1,1,0,0,0,1,1.1,0,0
244,1,4,4,1,0,0,1,1,1,1,0,0,1,1,1.1,0,0
246,1,4,4,1,0,0,1,1,1,1,0,1,0,1,1.1,0,0
248,1,4,4,1,0,0,1,1,1,1,0,1,1,1,1.1,0,0
250,1,4,4,1,0,0,1,1,1,1,1,0,0,1,1.1,0,0
252,1,4,4,1,0,0,1,1,1,1,1,0,1,1,1.1,0,0
254,1,4,4,1,0,0,1,1,1,1,1,1,0,1,1.1,0,0
256,1,4,4,1,0,0,1,1,1,1,1,1,1,1,1.1,0,0
257,1,4,4,1,0,1,0,0,0,0,0,0,0,0,1.1,0,0
259,1,4,4,1,0,1,0,0,0,0,0,0,1,0,1.1,0,0
261,1,4,4,1,0,1,0,0,0,0,0,1,0,0,1.1,0,0
263,1,4,4,1,0,1,0,0,0,0,0,1,1,0,1.1,0,0
265,1,4,4,1,0,1,0,0,0,0,1,0,0,0,1.1,0,0
267,1,4,4,1,0,1,0,0,0,0,1,0,1,0,1.1,0,0
269,1,4,4,1,0,1,0,0,0,0,1,1,0,0,1.1,0,0
271,1,4,4,1,0,1,0,0,0,0,1,1,1,0,1.1,0,0
273,1,4,4,1,0,1,0,0,0,1,0,0,0,0,1.1,0,0
275,1,4,4,1,0,1,0,0,0,1,0,0,1,0,1.1,0,0
277,1,4,4,1,0,1,0,0,0,1,0,1,0,0,1.1,0,0
279,1,4,4,1,0,1,0,0,0,1,0,1,1,0,1.1,0,0
281,1,4,4,1,0,1,0,0,0,1,1,0,0,0,1.1,0,0
283,1,4,4,1,0,1,0,0,0,1,1,0,1,0,1.1,0,0
285,1,4,4,1,0,1,0,0,0,1,1,1,0,0,1.1,0,0
287,1,4,4,1,0,1,0,0,0,1,1,1,1,0,1.1,0,0
290,1,4,4,1,0,1,0,0,1,0,0,0,0,1,1.1,0,0
292,1,4,4,1,0,1,0,0,1,0,0,0,1,1,1.1,0,0
294,1,4,4,1,0,1,0,0,1,0,0,1,0,1,1.1,0,0
296,1,4,4,1,0,1,0,0,1,0,0,1,1,1,1.1,0,0
298,1,4,4,1,0,1,0,0,1,0,1,0,0,1,1.1,0,0
